command,description,os,generated_command,pos_tags
accesschk,get the security descriptor sddl for an object file directory reg key,windows,,"[('get', 'VERB'), ('the', 'DET'), ('security', 'NOUN'), ('descriptor', 'NOUN'), ('sddl', 'NOUN'), ('for', 'ADP'), ('an', 'DET'), ('object', 'NOUN'), ('file', 'NOUN'), ('directory', 'NOUN'), ('reg', 'NOUN'), ('key', 'NOUN')]"
addusers,add or list users tofrom a csv file,windows,,"[('add', 'VERB'), ('or', 'CCONJ'), ('list', 'VERB'), ('users', 'NOUN'), ('tofrom', 'ADP'), ('a', 'DET'), ('csv', 'NOUN'), ('file', 'NOUN')]"
admodcmd,active directory bulk modify,windows,,"[('active', 'ADJ'), ('directory', 'NOUN'), ('bulk', 'NOUN'), ('modify', 'NOUN')]"
arp,address resolution protocol,windows,,"[('address', 'NOUN'), ('resolution', 'NOUN'), ('protocol', 'NOUN')]"
assoc,change file extension associations ,windows,,"[('change', 'VERB'), ('file', 'NOUN'), ('extension', 'NOUN'), ('associations', 'NOUN')]"
attrib,change file attributes,windows,,"[('change', 'VERB'), ('file', 'NOUN'), ('attributes', 'NOUN')]"
bcdboot,create or repair a system partition,windows,,"[('create', 'VERB'), ('or', 'CCONJ'), ('repair', 'VERB'), ('a', 'DET'), ('system', 'NOUN'), ('partition', 'NOUN')]"
bcdedit,manage boot configuration data,windows,,"[('manage', 'VERB'), ('boot', 'NOUN'), ('configuration', 'NOUN'), ('data', 'NOUN')]"
bitsadmin,background intelligent transfer service,windows,,"[('background', 'NOUN'), ('intelligent', 'ADJ'), ('transfer', 'NOUN'), ('service', 'NOUN')]"
bootrec,repair or replace a partition boot sector,windows,,"[('repair', 'VERB'), ('or', 'CCONJ'), ('replace', 'VERB'), ('a', 'DET'), ('partition', 'NOUN'), ('boot', 'NOUN'), ('sector', 'NOUN')]"
break,do nothing successfully ,windows,,"[('do', 'VERB'), ('nothing', 'PRON'), ('successfully', 'ADV')]"
browstat,get domain browser and pdc info,windows,,"[('get', 'VERB'), ('domain', 'NOUN'), ('browser', 'NOUN'), ('and', 'CCONJ'), ('pdc', 'PROPN'), ('info', 'NOUN')]"
cacls,change file permissions,windows,,"[('change', 'VERB'), ('file', 'NOUN'), ('permissions', 'NOUN')]"
call,call one batch program from another ,windows,,"[('call', 'VERB'), ('one', 'NUM'), ('batch', 'NOUN'), ('program', 'NOUN'), ('from', 'ADP'), ('another', 'PRON')]"
certreq,request certificate from a certification authority,windows,,"[('request', 'NOUN'), ('certificate', 'NOUN'), ('from', 'ADP'), ('a', 'DET'), ('certification', 'NOUN'), ('authority', 'NOUN')]"
certutil,manage certification authority ca files and services,windows,,"[('manage', 'VERB'), ('certification', 'NOUN'), ('authority', 'NOUN'), ('ca', 'AUX'), ('files', 'NOUN'), ('and', 'CCONJ'), ('services', 'NOUN')]"
cd,change directory  move to a specific folder ,windows,,"[('change', 'VERB'), ('directory', 'NOUN'), (' ', 'SPACE'), ('move', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('specific', 'ADJ'), ('folder', 'NOUN')]"
change,change terminal server session properties,windows,,"[('change', 'VERB'), ('terminal', 'ADJ'), ('server', 'NOUN'), ('session', 'NOUN'), ('properties', 'NOUN')]"
changepk,upgrade device editionproduct key,windows,,"[('upgrade', 'VERB'), ('device', 'NOUN'), ('editionproduct', 'NOUN'), ('key', 'NOUN')]"
chcp,change the active console code page,windows,,"[('change', 'VERB'), ('the', 'DET'), ('active', 'ADJ'), ('console', 'NOUN'), ('code', 'NOUN'), ('page', 'NOUN')]"
chdir,change directory  move to a specific folder ,windows,,"[('change', 'VERB'), ('directory', 'NOUN'), (' ', 'SPACE'), ('move', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('specific', 'ADJ'), ('folder', 'NOUN')]"
chkdsk,check disk  check and repair disk problems,windows,,"[('check', 'VERB'), ('disk', 'NOUN'), (' ', 'SPACE'), ('check', 'NOUN'), ('and', 'CCONJ'), ('repair', 'VERB'), ('disk', 'NOUN'), ('problems', 'NOUN')]"
chkntfs,check the ntfs file system,windows,,"[('check', 'VERB'), ('the', 'DET'), ('ntfs', 'PROPN'), ('file', 'NOUN'), ('system', 'NOUN')]"
choice,accept keyboard input to a batch file,windows,,"[('accept', 'VERB'), ('keyboard', 'NOUN'), ('input', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('file', 'NOUN')]"
cipher,encrypt or decrypt filesfolders overwrite data,windows,,"[('encrypt', 'NOUN'), ('or', 'CCONJ'), ('decrypt', 'ADJ'), ('filesfolders', 'NOUN'), ('overwrite', 'VERB'), ('data', 'NOUN')]"
cleanmgr,automated cleanup of temp files recycle bin,windows,,"[('automated', 'VERB'), ('cleanup', 'NOUN'), ('of', 'ADP'), ('temp', 'NOUN'), ('files', 'NOUN'), ('recycle', 'PROPN'), ('bin', 'PROPN')]"
clip,copy stdin to the windows clipboard,windows,,"[('copy', 'PROPN'), ('stdin', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('windows', 'PROPN'), ('clipboard', 'NOUN')]"
cls,clear the screen ,windows,,"[('clear', 'ADJ'), ('the', 'DET'), ('screen', 'NOUN')]"
cmd,start a new cmd shell,windows,,"[('start', 'VERB'), ('a', 'DET'), ('new', 'ADJ'), ('cmd', 'NOUN'), ('shell', 'NOUN')]"
cmdkey,manage stored usernamespasswords,windows,,"[('manage', 'VERB'), ('stored', 'VERB'), ('usernamespasswords', 'NOUN')]"
color,change colors of the cmd window ,windows,,"[('change', 'VERB'), ('colors', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('cmd', 'ADJ'), ('window', 'NOUN')]"
